city_id,city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,nar'yan-mar,67.6713,53.087,56.3,89,100,16.58,RU,1684434796
84,arraial do cabo,-22.9661,-42.0278,75.06,50,20,11.5,BR,1684435025
85,zyryanskoye,56.8306,86.6258,38.8,67,7,5.06,RU,1684435025
86,dryden,49.7833,-92.7503,55.69,54,100,17.27,CA,1684435026
87,sur,22.5667,59.5289,91.99,48,18,9.1,OM,1684435026
88,waingapu,-9.6567,120.2641,74.71,88,27,7.36,ID,1684435027
89,antonio enes,-16.2325,39.9086,75.6,78,0,6.6,MZ,1684435027
90,keflavik,64.0049,-22.5624,48.11,100,100,26.46,IS,1684435027
91,aqsay,51.1678,52.995,49.46,77,28,12.17,KZ,1684435028
92,doka,13.5167,35.7667,94.37,9,0,8.72,SD,1684435028
93,kirksville,40.1948,-92.5833,81.57,47,75,6.91,US,1684434923
94,lubango,-14.9172,13.4925,56.48,59,73,3.13,AO,1684435029
95,sao jose da coroa grande,-8.8978,-35.1478,81.19,71,94,8.72,BR,1684435030
96,thompson,55.7435,-97.8558,53.76,40,40,10.36,CA,1684435030
97,ribeira grande,38.5167,-28.7,72.0,73,20,15.01,PT,1684435030
98,rio grande,-32.035,-52.0986,84.31,69,12,6.08,BR,1684435031
99,tura,25.5198,90.2201,69.87,97,100,3.51,IN,1684435031
100,mil'kovo,55.6078,37.7956,67.51,78,43,9.98,RU,1684435032
101,east london,-33.0153,27.9116,56.34,82,0,9.22,ZA,1684435033
102,puerto baquerizo moreno,-0.9,-89.6,83.39,79,40,18.41,EC,1684435033
103,hithadhoo,-0.6,73.0833,83.08,77,14,8.97,MV,1684435034
104,qaqortoq,60.7167,-46.0333,38.03,86,100,6.51,GL,1684435034
105,boende,-0.2167,20.8667,76.96,74,8,1.21,CD,1684435034
106,malango,-2.9627,119.9001,67.06,98,100,1.72,ID,1684435035
107,ulladulla,-35.35,150.4667,45.63,85,7,5.75,AU,1684435019
108,olonkinbyen,70.9221,-8.7187,33.4,93,100,10.38,SJ,1684435036
109,karratha,-20.7377,116.8463,70.59,47,0,12.8,AU,1684435036
110,lewistown,40.5992,-77.5714,68.86,64,0,0.0,US,1684435037
111,ambato boeny,-16.4667,46.7167,72.9,79,13,3.18,MG,1684435037
112,aasiaat,68.7098,-52.8699,32.41,89,61,7.36,GL,1684435038
113,ust-nera,64.5667,143.2,35.4,97,98,8.21,RU,1684435038
114,ponta delgada,37.7333,-25.6667,66.92,88,75,10.36,PT,1684435039
115,dunedin,-45.8742,170.5036,47.8,97,100,1.99,NZ,1684435039
116,carnarvon,-24.8667,113.6333,74.17,47,100,8.14,AU,1684435039
117,san antonio de pale,-1.4014,5.6325,80.74,84,100,12.33,GQ,1684435040
118,kidal,18.4411,1.4078,99.88,10,68,7.34,ML,1684435040
119,arad,46.3333,21.75,60.91,96,100,6.71,RO,1684434980
120,hadibu,12.65,54.0333,86.95,73,3,5.03,YE,1684435042
121,lodwar,3.1191,35.5973,89.62,36,24,16.22,KE,1684435042
122,ketchikan,55.3422,-131.6461,64.87,48,0,8.05,US,1684435043
123,broome,42.2506,-75.833,66.0,27,0,8.01,US,1684435043
124,chuzhou,32.3219,118.2978,63.86,89,98,4.9,CN,1684435044
125,el granada,37.5027,-122.4694,76.6,77,100,17.27,US,1684435044
126,bredasdorp,-34.5322,20.0403,52.95,76,16,1.92,ZA,1684435045
127,new plymouth,-39.0667,174.0833,61.81,88,100,1.01,NZ,1684435045
128,retreat,38.8245,-85.8533,75.24,42,0,1.01,US,1684435046
129,hawaiian paradise park,19.5933,-154.9731,76.03,85,100,5.75,US,1684435046
130,novyy urgal,51.0736,132.5642,38.03,91,5,1.32,RU,1684435047
131,new norfolk,-42.7826,147.0587,44.71,74,59,1.99,AU,1684435047
132,eenhana,-17.4667,16.3333,64.44,25,100,4.52,NA,1684435047
133,lompoc,34.6391,-120.4579,76.69,100,100,5.75,US,1684435048
134,arkhangel'sk,64.5401,40.5433,47.19,71,8,8.39,RU,1684435048
135,dubbo,-32.25,148.6167,37.53,87,0,9.22,AU,1684434945
136,yatou,37.15,122.3833,55.11,91,13,5.17,CN,1684435049
137,georgetown,5.4112,100.3354,84.15,76,40,5.75,MY,1684434934
138,kavaratti,10.5669,72.642,84.78,71,28,5.73,IN,1684435050
139,baharly,38.4362,57.4316,74.16,37,0,6.17,TM,1684435050
140,pionerskiy,54.9508,20.2275,49.84,70,100,10.22,RU,1684435051
